"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"2010","Westminster","1952",303.8298348,"ɛ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2011","Westminster","2001",158.0285876,"ɛ","s","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"2012","Westminster","2015",141.0697198,"ɛ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2013","white","2018",31.0547045,"ai","t","final",0,0,0,0,1,0,0,0,0,1,1,0,1,0,"spirantised"
"2014","wife","1958",108.85,"ai","f","final",0,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2015","wife","1961",40.28302445,"ai","f","final",0,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2016","wife","1972",22.26,"ai","f","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"2017","wife","2015",37.73069712,"ai","f","final",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2018","wish","1952",73.88615151,"ɪ","ʃ","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2019","wish","1957",403.46,"ɪ","ʃ","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2020","wish","1958",359.5026377,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2021","wish","1964",190.36,"ɪ","ʃ","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2022","wish","1970",263.7757375,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2023","wish","2000",281,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2024","wish","2001",328.85,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2025","wish","2010",353.0013184,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2026","wish","2015",310.1541469,"ɪ","ʃ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"2027","wishes","1958",17.64864303,"ɪ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2028","wishes","1961",263.8046881,"ɪ","ʃ","medial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2029","wishing","1975",7.051192911,"ɪ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2030","witness","1957",382.43,"ɪ","t","medial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"2031","witnessed","1995",195.0832551,"ɪ","t","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
